Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2014-08-29T10:00:33.503 ,3,5.31005947238831E-4,-3.0209470783545713,FoVP,0.6028289839047856,0.7248274345732773,2456898.920329985
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2014-08-29T11:47:07.681 ,2,0.004281192575047661,-3.0172469456045334,FoVF,0.6011575931541704,0.7263004988026255,2456898.9943355354
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2014-10-09T19:09:39.720 ,6,-0.004862883856892525,-2.3800435952261663,FoVP,0.6856991797486844,0.7144079206627235,2456940.300519934
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2014-10-09T20:56:13.951 ,5,-8.516368374936306E-5,-2.3775572933150313,FoVF,0.6848300202456379,0.7153329273115211,2456940.374524498
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2014-11-11T14:29:11.669 ,3,0.003114044890693922,-0.30288622170742674,FoVF,-0.7071353290713945,0.7073197169749275,2456973.1044244673
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-01-13T01:15:07.329 ,5,1.0930014650916714E-4,0.689784299878566,FoVF,-0.592053117931631,0.6999653800418261,2457035.5509703946
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-03-10T22:16:43.113 ,2,0.0018565813731008817,1.7956851622844787,FoVP,-0.6213146324696364,0.704885654375748,2457092.427305762
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-03-11T00:03:17.318 ,7,-0.0034018863724111074,1.7942670087220318,FoVF,-0.619458033469438,0.706691657629929,2457092.5013145166
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-04-01T00:00:13.987 ,7,-0.003281527235104436,0.6816862632394768,FoVF,0.671799872414939,0.7104952024037241,2457113.499809427
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-05-07T09:29:59.729 ,4,-4.054824197498235E-4,2.7981515841910265,FoVP,-0.7157730369842383,0.7218323228226323,2457149.8969082534
